TICKER
SBUX
ILMN
LRCX
LVS
MSFT
MAA
MDLZ
PKG
PYPL
PKI
RJF
NOW
TSLA
URI
VAR
V
WHR
ALK
ALXN
ABC
APTV
BIIB
BR
CAT
CMS
CMCSA
DHR
DOV
DOW
DD
BEN
HSY
MMC
MA
MSCI
NOC
NVR
PH
PHM
DGX
ROP
SHW
SWK
TROW
TMO
TSCO
UPS
VLO
AMZN
ROKU
SHOP
ZM
HUBS
PAYC
TTWO
SFIX
DIS
APPN
SQ
OKTA
NVDA
TWLO
ATVI
GOOG
ASML.AS
COST
LDOS
CRM
EA
DPZ
ADSK
COUP
WM
RESI
CL
LLY
HON
IDXX
ITW
JCI
LHX
LYB
PSX
WY
AAN
AAOI
AAON
OEDV
AAPL
BAC
T
MO
DAL
AA
AXP
BABA
ABT
UA
AMAT
AMGN
AAL
AIG
ALL
ADBE
GOOGL
ACN
ABBV
MT
AGN
APA
ADP
APC
AKAM
NLY
ABX
ADM
WBA
LUV
ACAD
PANW
AMD
AET
AEP
CLMS
AVGO
DB
RAI
AEM
APD
AMBA
NVS
APOL
ANF
LULU
RAD
ARRY
AGNC
JBLU
A
ORLY
FOLD
AZO
ATML
AN
AZN
AES
GAS
BUD
BDX
AKS
AB
ACOR
CS
AFL
ADI
AEGR
ACIW
AMP
AVP
AMTD
AEO
AWK
NVO
ALTR
PAA
BA
CSCO
CVX
GS
HD
IBM
INTC
JNJ
KO
JPM
MCD
TRV
PG
NKE
MRK
MMM
WMT
UNH
TDOC
NVCR
GNRC
LITE
TREX
AMED
POR
HAE
FR
DECK
UAA
GPS
UNM
HBI
DISCA
TXN
CHTR
PEP
ISRG
VRTX
REGN
DOCU
CTSH
KDP
PTON
MAR
ROST
EXC
WDAY
CTAS
XLNX
EBAY
MCHP
TEAM
PAYX
DLTR
SPLK
SWKS
SIRI
CERN
VRSN
INCY
CDW
CHKP
FOX
TCOM
MXIM
CPRT
VRSK
ANSS
SGEN
ALGN
MRNA
FISV
GILD
BKNG
INTU
TMUS
QCOM
BMY
LIN
C
WFC
PM
LOW
BLK
GE
AMT
TJX
SYK
CI
ZTS
SCHW
LMT
DE
FIS
ANTM
CB
CCI
DUK
USB
PNC
ICE
EQUIX
GM
FDX
GPN
PGR
EW
HUM
ECL
BSX
COF
NEM
MCO
HCA
AON
EMR
BAX
F
CMG
MET
TWTR
GD
CMI
SLB
HPQ
GIS
YUM
INFO
CTVA
MSI
WEC
AME
WMB
STT
KEYS
WELL
GLW
BLL
MCK
DFS
VIAC
FRC
ETSY
CLX
KR
BBY
FB
BRK.B
VZ
NFLX
PFE
XOM
NEE
MDT
UNP
ORCL
MS
RTX
CVS
TGT
MU
SPGI
PLD
CSX
TFC
CME
NSC
EQIX
SO
D
EL
DG
ETN
COP
KLAC
KMB
FCX
TEL
SNPS
APH
SYY
DLR
CDNS
STZ
BK
CNC
IQV
TT
SRE
PPG
EOG
XEL
PSA
DXCM
MNST
ZBH
PRU
CARR
TDG
RMD
PCAR
SPG
ES
KMI
HLT
PEG
SBAC
ROK
MTD
FAST
MPC
VFC
OTIS
WLTW
PXD
SIVB
ENPH
DTE
ED
FTV
EIX
MKC
DHI
AVB
TER
FITB
AJG
WST
FLT
PPL
ZBRA
LH
EFX
VMC
CBRE
CHD
EQR
LEN
SYF
KHC
O
VTRS
ARE
QRVO
NTRS
ODFL
KSU
MKTX
FTNT
IP
RSG
OKE
HOLX
ALB
EXPE
ETR
TSN
CTLT
MLM
OXY
XYL
MTB
HIG
COO
AEE
VTR
HAL
TFX
GRMN
KEY
GWW
RF
KMX
CFG
AMCR
ANET
FE
IR
TYL
ULTA
NUE
HES
WAT
CAG
CAH
CTXS
HPE
PEAK
NDAQ
EXPD
DRI
STE
ESS
CE
WDC
FMC
CCL
BKR
HBAN
K
ABMD
GPC
IEX
MAS
WAB
EXR
DRE
NTAP
POOL
IT
J
EMN
TDY
CINF
PFG
OMC
STX
BF.B
BXP
RCL
AVY
SJM
BIO
CHRW
CXO
UAL
XRAY
JBHT
HRL
IFF
HAS
LNT
EVRG
FBHS
MGM
NLOK
FFIV
WRK
JKHY
CNP
UDR
DVN
LW
LUMN
ATO
AAP
TXT
L
HWM
FOXA
LKQ
PWR
LB
ALLE
CBOE
HST
WYNN
UHS
LYV
HSIC
NRG
TAP
MOS
CF
IPG
PNR
DISCK
BWA
CPB
FANG
LNC
TPR
WRB
GL
RE
SNA
NWL
WU
MHK
CMA
PNW
NI
DVA
IPGP
IRM
AIZ
ROL
DISH
JNPR
ZION
NCLH
NLSN
AOS
COG
IVZ
REG
NWSA
RHI
DXC
PVH
KIM
FLIR
HII
SEE
MRO
PBCT
VNO
FRT
PRGO
LEG
NOV
RL
FTI
FLS
VNT
SLG
HFC
XRX
NWS
TTD
NICE
NVTA
CWBHF
ZYNGA
HQY
WIX
HRC
HA
ZS
NEWR
VRNS
CRUS
MTN
TLND
IRBT
CGNX
LOPE
WAL
BDZ
MASI
MKL
STMP
TXRH
CRI
BL
PD
DBX
APPF
SNOW
LMND
NESN.SW
ZO1.DE
SAP.DE
NOVN.SW
ADS.DE
ALV.DE
SPWR
MP
FQVLF
NVNNXF
NNOMF
STPK
FCEL
RMO
ADYEN.AS
VEEV
